record_id,original_title,crossref_doi,crossref_title,crossref_journal,crossref_year,title_match_score,outcome,pmid_from_doi
DUP_00347,Application and exploration of fNIRS in brain function mechanism of acupuncture against insomnia,10.1016/j.wjam.2025.12.007,Application and exploration of fNIRS in brain function mechanism of acupuncture against insomnia,World Journal of Acupuncture - Moxibustion,2026,1.0,doi_found,
DUP_00550,Clinical Efficacy of Electroacupuncture for Generalized Anxiety Disorder and Its Central Mechanism Based on Neuroimaging Changes,10.5353/th_b5435646,Dense cranial electroacupuncture stimulation for depression : its clinical efficacy and neuroimaging evidence from randomized controlled studies,,,0.438,possible_doi,
DUP_01247,Mechanism of Acupuncture at GB34 in Modulating Brain Functional Networks with Post-Stroke Hemiplegia: An Interpretable Graph Neural Network Study,10.2139/ssrn.6169713,Mechanism of Acupuncture at GB34 in Modulating Brain Functional Networks with Post-Stroke Hemiplegia: An Interpretable Graph Neural Network Study,,,1.0,doi_found,
DUP_01766,The Effect of Acupuncture Therapy on Cognitive Function in Post-COVID-19 Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: A Study With Multimodal Magnetic Resonance Imaging,10.4324/9780429473289,Coping Better with Chronic Fatigue Syndrome/Myalgic Encephalomyelitis,,2018,0.095,not_found,
DUP_01767,The Effect of Acupuncture Treatment on Cognitive Functions and Brain Networks for Long COVID: a Multimodal Magnetic Resonance Imaging Study,10.1016/j.mri.2024.110296,"Effect of carotid artery stenting on cognitive function in patients with asymptomatic carotid artery stenosis, a multimodal magnetic resonance study",Magnetic Resonance Imaging,2025,0.45,possible_doi,
DUP_00184,Acupuncture Modulates Brain Connectivity and Outcomes of Pain and Vaso-occlusive Crisis in Patients with Sickle Cell Disease,10.1016/j.jpain.2025.105283,Acupuncture Modulates Brain Connectivity and Outcomes of Pain and Vaso-occlusive Crisis in Patients with Sickle Cell Disease,The Journal of Pain,2025,1.0,doi_found,
DUP_00240,Acupuncture Therapy for Insomnia: An Alternative Therapy for the Modulation of Brain Functions,10.4103/wjtcm.wjtcm_16_25,Acupuncture Therapy for Insomnia: An Alternative Therapy for the Modulation of Brain Functions,World Journal of Traditional Chinese Medicine,2025,1.0,doi_found,
DUP_00579,"Comparison of two electroacupuncture regimens on symptoms and brain structures in breast cancer survivors: A randomized, controlled trial.",10.1200/jco.2025.43.16_suppl.12119,"Comparison of two electroacupuncture regimens on symptoms and brain structures in breast cancer survivors: A randomized, controlled trial.",Journal of Clinical Oncology,2025,1.0,doi_found,
DUP_00933,Electroacupuncture Links Nociceptive and Nociplastic Pain via Brain Activation in Fibromyalgia,10.1016/j.jpain.2025.105053,Electroacupuncture Links Nociceptive and Nociplastic Pain via Brain Activation in Fibromyalgia,The Journal of Pain,2025,1.0,doi_found,
DUP_00326,Analgesic effect of electroacupuncture on pain in Parkinson's disease and mechanism based on rs-fMRI,10.1016/j.parkreldis.2024.106864,Analgesic effect of electroacupuncture on pain in Parkinson's disease and mechanism based on rs-fMRI,Parkinsonism &amp; Related Disorders,2024,1.0,doi_found,
DUP_00327,Analgesic Effect of Electroacupuncture on Relieving Pain in Parkinson's disease (PD) and the Mechanism Based on RS-fMRI,10.1016/j.parkreldis.2024.106864,Analgesic effect of electroacupuncture on pain in Parkinson's disease and mechanism based on rs-fMRI,Parkinsonism &amp; Related Disorders,2024,0.812,doi_found,
DUP_00883,Efficacy and Mechanism Study of Acupuncture Combined With Neuromodulation Technology for Post-Stroke Aphasia Based on Multimodal Functional Magnetic Resonance Imaging,10.3389/conf.fnhum.2019.01.00026,"A Study of Brain Damage and Compensation in Anomic Aphasia Patients in the Acute Stage Post Stroke, Based on Functional Magnetic Resonance Imaging of a Picture Naming Task",Frontiers in Human Neuroscience,2019,0.5,possible_doi,
DUP_00885,Efficacy and Olfactory Network of Electro-acupuncture for Subjective Cognitive Decline: A Multicenter Randomized Controlled Trial and fMRI Study,10.1186/s13063-020-04950-7,Efficacy of simultaneous aerobic exercise and cognitive training in subjective cognitive decline: study protocol for randomized controlled trial of the Exergames Study,Trials,2021,0.647,doi_found,
DUP_00978,Evaluation of Therapeutic Effect and Brain Mechanism of Electroacupuncture in Treating Agitation Symptoms of Alzheimer's Disease,10.36468/pharmaceutical-sciences.spl.980,Therapeutic Efficacy of Acupuncture and Electroacupuncture in Treating Somatic Symptoms from the Psychosomatic Medicine Perspective,Indian Journal of Pharmaceutical Sciences,2024,0.5,possible_doi,
DUP_01256,Mechanistic investigation of acupuncture treatment in patients with migraine: Evidence from brain imaging study (I),10.1016/j.wjam.2023.07.002,Mechanistic investigation of acupuncture treatment in patients with migraine: Evidence from brain imaging study (I),World Journal of Acupuncture - Moxibustion,2023,1.0,doi_found,
DUP_01688,Study on Imaging Characteristics and Predictive Radiology of Brain Network Regulation by Acupuncture in Patients with Painful Temporomandibular Disorders,10.2174/0115734056355184250307055847,Altered Brain Structure in the Patients with Painful Temporomandibular Disorders: A Pilot Surface-based Morphometry,Current Medical Imaging Formerly Current Medical Imaging Reviews,2025,0.368,not_found,
DUP_01714,Temporal-Spatial Acupuncture Effects on Poststroke Sensorimotor Cortex via Yanglingquan (GB34),10.1155/2024/9315155,Temporal–Spatial Acupuncture Effects on Poststroke Sensorimotor Cortex via Yanglingquan (GB34),Neural Plasticity,2024,1.0,doi_found,
DUP_01929,Uncovering the mechanisms by which acupuncture improves motor function after stroke through neuroplasticity revealed by magnetic resonance imaging techniques,10.61186/ijrr.22.3.647,Uncovering the mechanisms by which acupuncture improves motor function after stroke through neuroplasticity revealed by magnetic resonance imaging techniques,International Journal of Radiation Research,2024,1.0,doi_found,
DUP_00331,Analysis of changes in connectivity of resting brain functional network before and after acupuncture combined with language rehabilitation training in patients with basal ganglia aphasia after stroke,10.1097/md.0000000000036160,A meta-analysis of functional recovery of aphasia after stroke by acupuncture combined with language rehabilitation training,Medicine,2023,0.478,possible_doi,
DUP_00561,Cognitive Training to Enhance Brain-to-brain Concordance During Acupuncture,10.31525/ct1-nct04050046,Noninvasive Brain Stimulation to Enhance Cognitive Training in Older Adults,Case Medical Research,2019,0.5,possible_doi,
DUP_00613,"Corrigendum: Altered Functional Activity and Functional Connectivity of Seed Regions Based on ALFF Following Acupuncture Treatment in Patients with Stroke Sequelae with Unilateral Limb Numbness (Neuropsychiatr Dis Treat. 2023, 19, 233–245)",10.2147/ndt.s408402,Altered Functional Activity and Functional Connectivity of Seed Regions Based on ALFF Following Acupuncture Treatment in Patients with Stroke Sequelae with Unilateral Limb Numbness [Corrigendum],Neuropsychiatric Disease and Treatment,2023,0.793,doi_found,
DUP_00616,"Corrigendum: Modulations of static and dynamic functional connectivity among brain networks by electroacupuncture in post-stroke aphasia (Front. Neurol., (2022), 13, 956931, 10.3389/fneur.2022.956931)",10.3389/fneur.2023.1148220,Corrigendum: Modulations of static and dynamic functional connectivity among brain networks by electroacupuncture in post-stroke aphasia,Frontiers in Neurology,2023,0.727,doi_found,
DUP_01511,Probing the flexible internal state transition and low-dimensional manifold dynamics of human brain with acupuncture,10.1016/j.bspc.2022.104494,Probing the flexible internal state transition and low-dimensional manifold dynamics of human brain with acupuncture,Biomedical Signal Processing and Control,2023,1.0,doi_found,
DUP_00820,"Effects and Central Mechanism of Electroacupuncture and MRI-navigated rTMS for PSD: a fMRI-based Single-center, Randomized, Controlled, Assessor-blinded Trial",10.3389/fpsyt.2023.1226777,"Effects and central mechanism of electroacupuncture and MRI-navigated rTMS for PSD: study protocol for an fMRI-based single-center, randomized, controlled, open-label trial",Frontiers in Psychiatry,2024,0.882,doi_found,
DUP_01182,Investigating the Effects of Autonomous Sensory Meridian Response (ASMR) Stimulation on the Functional Connectivity of the Default Mode Network,10.1080/17470919.2016.1188851,An examination of the default mode network in individuals with autonomous sensory meridian response (ASMR),Social Neuroscience,2017,0.625,doi_found,
DUP_01569,Research on resting spontaneous brain activity and functional connectivity of acupuncture at uterine acupoints,10.1016/j.dcmed.2022.03.006,Research on resting spontaneous brain activity and functional connectivity of acupuncture at uterine acupoints,Digital Chinese Medicine,2022,1.0,doi_found,
DUP_01684,Study on brain network function of the specific connection between Hégǔ (合谷LI4) and the facial-oral area,10.1016/j.wjam.2021.08.007,Study on brain network function of the specific connection between Hégǔ (合谷LI4) and the facial-oral area,World Journal of Acupuncture - Moxibustion,2022,1.0,doi_found,
DUP_01771,The Effect of Laser Acupuncture in Different Meridians on the Autonomic Nervous System and Its Brain Mechanisms,10.1016/s0165-1838(99)00090-9,Effect of sensory stimulation (acupuncture) on sympathetic and parasympathetic activities in healthy subjects,Journal of the Autonomic Nervous System,2000,0.375,not_found,
DUP_00250,Acupuncture Treatment Modulates the Hypothalamus Functional Connectivity in Patients With Chronic Insomnia Disorder,10.1016/j.ijpsycho.2021.07.389,Acupuncture Treatment Modulates the Hypothalamus Functional Connectivity in Patients With Chronic Insomnia Disorder,International Journal of Psychophysiology,2021,1.0,doi_found,
DUP_00335,Analysis of the differences in brain function response after acupuncture and moxibustion at Zúsānlĭ (足三里ST36) in the patients with functional dyspepsia based on fractional amplitude of low frequency fluctuation of rest functional magnetic resonance imaging,10.1016/j.wjam.2021.05.013,Analysis of the differences in brain function response after acupuncture and moxibustion at Zúsānlĭ (足三里ST36) in the patients with functional dyspepsia based on fractional amplitude of low frequency fluctuation of rest functional magnetic resonance imaging,World Journal of Acupuncture - Moxibustion,2021,1.0,doi_found,
DUP_00521,Changed ACC-DMN functional connectivity after acupuncture with deqi for functional dyspepsia treatment,10.1016/j.wjam.2020.10.009,Changed ACC-DMN functional connectivity after acupuncture with deqi for functional dyspepsia treatment,World Journal of Acupuncture - Moxibustion,2021,1.0,doi_found,
DUP_00612,"Corrigendum: Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network (Front. Neurosci., (2021), 15, (693623), 10.3389/fnins.2021.693623)",10.3389/fnins.2021.773069,Corrigendum: Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network,Frontiers in Neuroscience,2021,0.714,doi_found,
DUP_00810,Effect of “three-tong acupuncture” on brain function of patients with spinal cord injury based on magnetic resonance technology,10.1002/jmri.29085,Editorial for “Altered Brain Function in Pediatric Patients With Complete Spinal Cord Injury: A Resting‐State Functional <scp>MRI</scp> Study”,Journal of Magnetic Resonance Imaging,2024,0.438,possible_doi,
