60.6,-38.8,46.7,8.089
22.2,-67.3,32.1,7.023
32.3,-53.0,42.5,4.585
-24.2,-81.6,48.8,5.179
-12.1,-77.5,50.8,4.698
30.3,12.2,-19.9,4.289
-46.5,-59.2,57.1,4.161
-52.5,46.9,59.2,3.487
36.4,22.4,-3.2,3.081
48.5,36.7,13.4,3.868
-30.3,-77.5,52.9,3.868
44.4,38.8,21.7,3.73
16.2,-81.6,23.8,3.595
-40.4,40.8,28.0,3.53
18.2,69.4,65.4,3.444
2.0,8.2,17.6,3.258
4.0,-38.8,-17.8,3.218
-38.4,-53.0,38.4,3.179
-60.0,-28.0,16.0,91.659
58.0,-18.0,16.0,82.929
24.0,-40.0,66.0,68.83
-60.0,6.0,-2.0,66.224
50.0,-64.0,6.0,56.343
-56.0,-70.0,4.0,52.289
-22.0,-40.0,70.0,49.017
58.0,2.0,4.0,39.125
0.0,2.0,48.0,38.781
0.0,-4.0,64.0,37.439
-48.0,0.0,54.0,31.762
-4.0,3.0,42.0,31.225
4.0,12.0,40.0,28.223
42.0,0.0,56.0,25.979
-41.0,-18.0,8.0,24.937
46.0,0.0,2.0,24.735
46.0,-6.0,-20.0,22.633
-16.0,-24.0,36.0,16.72
-32.0,26.0,-2.0,16.594
-40.0,-42.0,62.0,15.631
14.0,-24.0,42.0,12.935
8.0,-24.0,-2.0,10.138
42.0,46.0,2.0,8.925
4.0,-74.0,-6.0,6.31
32.0,-54.0,-30.0,13.028
16.0,-68.0,-58.0,13.601
-52.0,-72.0,4.0,26.85
-60.0,-22.0,18.0,20.579
-46.0,-2.0,56.0,18.317
62.0,-18.0,26.0,15.984
48.0,-70.0,2.0,15.516
-62.0,-22.0,42.0,14.415
48.0,6.0,32.0,13.216
26.0,-38.0,68.0,13.121
54.0,-32.0,26.0,12.935
30.0,-4.0,52.0,10.781
-32.0,-50.0,60.0,9.934
42.0,0.0,4.0,7.534
38.0,24.0,4.0,6.935
-50.0,-6.0,6.0,6.271
-56.0,12.0,4.0,6.117
10.0,4.0,44.0,6.079
-64.0,-8.0,2.0,5.785
48.0,-16.0,-12.0,5.085
