pmid,Cort_Angular Gyrus,Cort_Central Opercular Cortex,"Cort_Cingulate Gyrus, anterior division","Cort_Cingulate Gyrus, posterior division",Cort_Cuneal Cortex,Cort_Frontal Medial Cortex,Cort_Frontal Opercular Cortex,Cort_Frontal Orbital Cortex,Cort_Frontal Pole,Cort_Heschl's Gyrus (includes H1 and H2),"Cort_Inferior Frontal Gyrus, pars opercularis","Cort_Inferior Frontal Gyrus, pars triangularis","Cort_Inferior Temporal Gyrus, anterior division","Cort_Inferior Temporal Gyrus, posterior division","Cort_Inferior Temporal Gyrus, temporooccipital part",Cort_Insular Cortex,Cort_Intracalcarine Cortex,Cort_Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),"Cort_Lateral Occipital Cortex, inferior division","Cort_Lateral Occipital Cortex, superior division",Cort_Lingual Gyrus,Cort_Middle Frontal Gyrus,"Cort_Middle Temporal Gyrus, anterior division","Cort_Middle Temporal Gyrus, posterior division","Cort_Middle Temporal Gyrus, temporooccipital part",Cort_Occipital Fusiform Gyrus,Cort_Occipital Pole,Cort_Paracingulate Gyrus,"Cort_Parahippocampal Gyrus, anterior division","Cort_Parahippocampal Gyrus, posterior division",Cort_Parietal Opercular Cortex,Cort_Planum Polare,Cort_Planum Temporale,Cort_Postcentral Gyrus,Cort_Precentral Gyrus,Cort_Precuneous Cortex,Cort_Subcallosal Cortex,Cort_Superior Frontal Gyrus,Cort_Superior Parietal Lobule,"Cort_Superior Temporal Gyrus, anterior division","Cort_Superior Temporal Gyrus, posterior division",Cort_Supracalcarine Cortex,"Cort_Supramarginal Gyrus, anterior division","Cort_Supramarginal Gyrus, posterior division","Cort_Temporal Fusiform Cortex, anterior division","Cort_Temporal Fusiform Cortex, posterior division",Cort_Temporal Occipital Fusiform Cortex,Cort_Temporal Pole,Sub_Brain-Stem,Sub_Left Accumbens,Sub_Left Amygdala,Sub_Left Caudate,Sub_Left Hippocampus,Sub_Left Pallidum,Sub_Left Putamen,Sub_Left Thalamus,Sub_Right Accumbens,Sub_Right Amygdala,Sub_Right Caudate,Sub_Right Hippocampus,Sub_Right Pallidum,Sub_Right Putamen,Sub_Right Thalamus
16407533,0.13333333333333333,0.0,0.08333333333333333,0.03333333333333333,0.0,0.0,0.11666666666666667,0.03333333333333333,0.2,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
17240066,0.0,0.030303030303030304,0.21212121212121213,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061
19559684,0.0,0.04895104895104895,0.11888111888111888,0.03496503496503497,0.0,0.04195804195804196,0.0,0.013986013986013986,0.02097902097902098,0.0,0.0,0.0,0.0,0.0,0.0,0.013986013986013986,0.0,0.0,0.0,0.04195804195804196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06293706293706294,0.0,0.02097902097902098,0.0,0.0,0.0,0.06293706293706294,0.0,0.0979020979020979,0.1258741258741259,0.02097902097902098,0.0,0.0,0.0,0.0,0.02097902097902098,0.006993006993006993,0.0,0.0,0.0,0.06293706293706294,0.0,0.0,0.04895104895104895,0.0,0.027972027972027972,0.0,0.0,0.013986013986013986,0.0,0.04895104895104895,0.0,0.02097902097902098,0.0,0.0,0.02097902097902098
20423216,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
20838644,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.2,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
21080967,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.10256410256410256,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.02564102564102564,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564
22291848,0.0,0.0,0.043478260869565216,0.0,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.10869565217391304,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0
22916152,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.07,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.02,0.06,0.05,0.03,0.02,0.01,0.04,0.03,0.06,0.05,0.0,0.01,0.0,0.02,0.0,0.0,0.06,0.13,0.0,0.01,0.02,0.04,0.0,0.01,0.0,0.01,0.03,0.0,0.03,0.0,0.04,0.02,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.01
23152865,0.034482758620689655,0.034482758620689655,0.0,0.0,0.06896551724137931,0.0,0.0,0.06896551724137931,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.06896551724137931,0.0,0.0,0.0,0.0,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23316257,0.0,0.21333333333333335,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.02666666666666667,0.05333333333333334,0.02666666666666667,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.10666666666666667,0.0,0.0,0.08,0.12,0.02666666666666667,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.05333333333333334,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04
