-24.0,-60.0,-30.0,5.5
9.0,6.0,33.0,4.882
39.0,-12.0,-9.0,4.864
-18.0,9.0,15.0,7.383
12.0,3.0,12.0,5.739
9.0,-39.0,3.0,5.287
-3.0,-57.0,3.0,6.592
6.0,-78.0,-6.0,5.565
-12.0,-39.0,-3.0,4.523
-30.0,-30.0,54.0,5.482
0.0,12.0,45.0,5.135
-3.0,-57.0,3.0,9.999
9.0,-42.0,21.0,4.803
9.0,-42.0,3.0,7.194
-9.0,-48.0,45.0,6.735
-6.0,-21.0,54.0,6.093
-24.0,-60.0,-30.0,5.5
9.0,6.0,33.0,4.882
39.0,-12.0,-9.0,4.864
-18.0,9.0,15.0,7.383
12.0,3.0,12.0,5.739
9.0,-39.0,3.0,5.287
-3.0,-57.0,3.0,6.592
6.0,-78.0,-6.0,5.565
-12.0,-39.0,-3.0,4.523
-30.0,-30.0,54.0,5.482
0.0,12.0,45.0,5.135
-3.0,-57.0,3.0,9.999
9.0,-42.0,21.0,4.803
9.0,-42.0,3.0,7.194
-9.0,-48.0,45.0,6.735
-6.0,-21.0,54.0,6.093
