-24.0,12.0,60.0,-4.371
-20.0,10.0,80.0,-3.93
39.0,9.0,9.0,4.432
54.0,10.0,11.0,4.06
23.0,-10.0,70.0,-3.775
-54.0,12.0,-8.0,-4.103
-12.0,-24.0,-6.0,-5.537
-10.0,-22.0,0.0,-4.586
-16.0,-19.0,22.0,-4.221
12.0,34.0,0.0,-3.045
-3.0,-6.0,30.0,-4.776
4.0,5.0,-45.0,-2.784
57.0,-54.0,24.0,-5.326
60.0,-34.0,20.0,-4.416
45.0,-20.0,-30.0,-4.586
24.0,-27.0,4.0,-4.905
23.0,30.0,10.0,-4.371
24.0,-24.0,-18.0,-4.857
30.0,-10.0,-29.0,-3.395
0.0,33.0,18.0,-4.416
-9.0,-48.0,37.0,-5.274
9.0,-60.0,40.0,-6.093
-18.0,56.0,33.0,-5.291
2.0,33.0,-18.0,-4.06
-24.0,12.0,60.0,-4.371
-20.0,10.0,80.0,-3.93
39.0,9.0,9.0,4.432
54.0,10.0,11.0,4.06
23.0,-10.0,70.0,-3.775
-54.0,12.0,-8.0,-4.103
-12.0,-24.0,-6.0,-5.537
-10.0,-22.0,0.0,-4.586
-16.0,-19.0,22.0,-4.221
12.0,34.0,0.0,-3.045
-3.0,-6.0,30.0,-4.776
4.0,5.0,-45.0,-2.784
57.0,-54.0,24.0,-5.326
60.0,-34.0,20.0,-4.416
45.0,-20.0,-30.0,-4.586
24.0,-27.0,4.0,-4.905
23.0,30.0,10.0,-4.371
24.0,-24.0,-18.0,-4.857
30.0,-10.0,-29.0,-3.395
0.0,33.0,18.0,-4.416
-9.0,-48.0,37.0,-5.274
9.0,-60.0,40.0,-6.093
-18.0,56.0,33.0,-5.291
2.0,33.0,-18.0,-4.06
