// Analysis: verum_post_gt_pre
// Studies: 50
// Total foci: 719
// Foci with t-values: 702
// Coordinate space: MNI
// All statistics converted to t-values

// Reference=22291848
// Subjects=21
-12.0	48.0	-8.0	4.8
8.0	48.0	-14.0	5.9
-6.0	44.0	-4.0	4.3
4.0	40.0	-10.0	5.32
-8.0	12.0	-12.0	2.8
2.0	14.0	-14.0	3.0
-16.0	60.0	10.0	2.1
2.0	4.0	-12.0	2.76
-34.0	-30.0	-8.0	3.5
18.0	-14.0	-20.0	2.01
14.0	-12.0	-10.0	2.14
-10.0	-72.0	50.0	1.88
-38.0	24.0	40.0	2.8
54.0	-32.0	38.0	2.67
-6.0	-34.0	-8.0	2.7
-10.0	-46.0	-58.0	3.7
-4.0	44.0	-14.0	4.5
6.0	48.0	-10.0	3.32
18.0	48.0	-12.0	3.09
-8.0	40.0	2.0	3.8
6.0	34.0	-12.0	4.54
-6.0	18.0	-18.0	2.8
4.0	10.0	-14.0	2.34
-40.0	-28.0	-18.0	3.8
24.0	-8.0	-20.0	2.34
38.0	18.0	-42.0	3.24
14.0	-12.0	-12.0	2.49
-24.0	20.0	42.0	2.6
-4.0	-36.0	-8.0	2.46
-8.0	-76.0	-35.0	2.71
-12.0	48.0	-8.0	4.8
8.0	48.0	-14.0	5.9
16.0	48.0	-12.0	5.67
-6.0	44.0	-4.0	4.3
4.0	40.0	-10.0	5.32
-8.0	12.0	-12.0	2.8
2.0	14.0	-14.0	3.0
-16.0	60.0	10.0	2.1
2.0	4.0	-12.0	2.76
-34.0	-30.0	-8.0	3.5
18.0	-14.0	-20.0	2.01
-34.0	-30.0	-8.0	3.5
14.0	-12.0	-10.0	2.14
-10.0	-72.0	50.0	1.88
-38.0	24.0	40.0	2.8
54.0	-32.0	38.0	2.67
-6.0	-34.0	-8.0	2.7
-10.0	-46.0	-58.0	3.7
-4.0	44.0	-14.0	4.5
6.0	48.0	-10.0	3.32
18.0	48.0	-12.0	3.09
-8.0	40.0	2.0	3.8
6.0	34.0	-12.0	4.54
-6.0	18.0	-18.0	2.8
4.0	10.0	-14.0	2.34
-40.0	-28.0	-18.0	3.8
24.0	-8.0	-20.0	2.5
38.0	18.0	-42.0	3.24
14.0	-12.0	-12.0	2.49
-24.0	20.0	42.0	2.6
44.0	-34.0	22.0	2.6
-4.0	-36.0	-8.0	2.46
-8.0	-76.0	-35.0	2.71

// Reference=23840533
// Subjects=18
50.0	0.0	40.0	5.91
-42.0	-54.0	12.0	4.82
-24.0	-86.0	-8.0	5.89
2.0	-70.0	38.0	6.08
-20.0	-96.0	2.0	5.84
30.0	-38.0	-24.0	4.87
-8.0	-40.0	-24.0	5.4
2.0	-58.0	-18.0	5.29
-36.0	-34.0	60.0	6.09
22.0	-34.0	66.0	5.17
-30.0	-16.0	68.0	4.91
10.0	-4.0	46.0	7.88
36.0	-52.0	-22.0	5.57
22.0	-12.0	70.0	4.14
50.0	0.0	40.0	5.91
-42.0	-54.0	12.0	4.82
-24.0	-86.0	28.0	5.89
2.0	-70.0	38.0	6.08
-20.0	-96.0	2.0	5.84
