// Analysis: verum_gt_sham
// Studies: 39
// Total foci: 715
// Foci with t-values: 708
// Coordinate space: MNI
// All statistics converted to t-values

// Reference=19559684
// Subjects=48
-2.0	-63.2	50.8	-16.0
5.0	-61.2	55.0	-17.5
-5.0	-54.1	42.5	-19.3
2.0	-54.1	40.4	-22.3
-6.1	57.1	30.0	-6.5
7.1	54.1	20.7	-9.6
-7.1	59.2	0.9	-10.9
2.0	56.1	-4.3	-10.3
-6.1	35.7	17.6	-14.6
5.0	34.7	12.4	-10.2
-5.0	20.4	-9.5	-14.0
12.1	23.5	-9.5	-21.1
-13.1	33.7	-15.7	-11.5
15.2	23.5	-10.5	-19.3
-4.0	17.3	-7.4	-22.7
5.0	17.3	-12.6	-22.1
-31.3	8.2	-32.4	-24.4
40.4	13.3	-29.2	-23.9
-16.2	1.0	-14.7	-5.2
20.2	2.0	-13.6	-4.8
-22.2	-8.2	-16.8	-11.8
25.2	-11.2	-13.6	-10.6
-29.3	-23.5	-13.6	-8.14
27.3	-28.6	-15.7	-7.84
-47.5	-71.4	33.2	-13.4
47.5	-67.3	33.2	-15.1
-4.0	-1.0	-6.4	-9.2
3.0	-1.0	-7.4	-13.0
-2.0	-72.4	-25.1	-9.28
-60.6	-12.2	21.7	6.3
-59.6	-20.4	20.7	11.62
61.6	-19.4	22.8	7.85
-28.3	23.5	0.9	5.15
29.3	19.4	4.0	14.66
-9.1	31.6	36.3	4.3
-4.0	-31.6	26.9	6.33
3.0	-29.6	31.1	6.76
-7.1	-7.1	8.2	5.29
5.0	-7.1	8.2	5.0
-3.0	-66.3	35.2	-11.5
10.1	-62.2	54.0	-10.9
-2.0	-47.9	43.6	-6.6
3.0	-64.3	35.2	-6.2
7.1	50.0	36.3	-4.6
-16.2	60.2	3.0	-4.6
11.1	63.2	4.0	-6.7
-4.0	34.7	17.6	-5.0
5.0	34.7	0.9	-6.0
-6.1	25.5	-7.4	-7.2
5.0	22.4	-11.6	-11.6
-11.1	29.6	-13.6	-13.8
17.2	28.6	-10.5	-13.4
-5.0	17.3	-9.5	-17.8
6.1	14.3	-9.5	-16.5
-34.3	19.4	-29.2	-17.6
42.4	13.3	-23.0	-10.9
-19.2	-3.1	-19.9	-6.5
-16.2	-10.2	-7.4	-6.0
23.2	-10.2	-16.8	-8.1
-24.2	-30.6	-30.3	-8.48
28.3	-25.5	-17.8	-7.8
