dropped,afferent_coef,afferent_p,cognitive_coef,cognitive_p,n
24459533,0.8015080016438335,0.016694702980169864,-0.3228137218586433,0.20176029788830074,111
24915066,0.9046680668166212,0.008233242381929363,-0.29653329406080287,0.23477410787700803,107
25916336,0.7401049278742489,0.026836542183330446,-0.2915842111244604,0.25640310958705503,112
26839078,0.7457676279316712,0.02263274763446963,-0.4262257815305477,0.10072031018502478,104
27688791,0.7376151941273447,0.026882466762946616,-0.32098654782414093,0.20952875438182939,111
27812501,0.8417368761338518,0.010664024341367605,-0.3705899139169449,0.13778522209826705,111
27857211,0.7523258495612161,0.026271129322062454,-0.32502248336073486,0.20750887333846635,111
29204113,0.7585785584158411,0.025520863094501123,-0.3171956533300975,0.21735299585407564,111
29563830,0.7104366757236483,0.033931196112423595,-0.300198991674312,0.2500009340076884,111
29951105,0.802372239533024,0.025302971827573854,-0.3620414918895814,0.1759584004260425,111
30034336,0.6804113001080251,0.0427669354689635,-0.30326899943229657,0.23677942379355288,107
32807158,0.6972836538565997,0.04703291089387371,-0.316673159289423,0.22103954479756538,111
33013312,0.7268496267722516,0.029936644828438004,-0.3245879939240808,0.2153755781015646,111
33146953,0.35639727364166296,0.2815074973470264,-0.23022694122685647,0.33319063140008565,112
34720908,0.725238112639338,0.03071059001600515,-0.29894121366568127,0.24909592045628426,110
35048524,0.6666467364128097,0.048442527585299135,-0.2613773924513521,0.3098178161275338,108
35153654,0.7523701799685124,0.028726726423633327,-0.3510768415928718,0.19585291866338062,112
35557556,0.6693042986950992,0.04881266900964601,-0.32103826002943575,0.21576334883820059,104
35585920,0.7132894380141136,0.03284690998574158,-0.33264113126537664,0.20328665885332575,110
36051643,0.714632795563412,0.03302818778240401,-0.32285036433275893,0.21283028600421305,107
36890655,0.6650349854960189,0.0509825067842469,-0.29969761114748195,0.2423782141073435,106
37383656,0.7283201366395358,0.030467587784023083,-0.2745375781147851,0.3011507987746702,109
37721727,0.7263050738254172,0.029794886505385944,-0.2881117758086207,0.2705616598357564,112
38027487,0.4914510249214713,0.0962830804558248,-0.11904386301396026,0.6002759656026391,111
38245739,0.7133277067283669,0.03332669954040587,-0.32192957862846144,0.21967373750225028,111
38249582,0.694226104657916,0.03817685289248206,-0.27447756370476056,0.2936445082873004,111
38585348,0.7212684735298813,0.030796924083524902,-0.3089008830429089,0.22913666940008814,112
38681626,0.633732340685565,0.04633534667194422,-0.3328187168963716,0.17145020080347895,111
40584525,0.7178943247891199,0.034161754720385025,-0.3145778067115275,0.23312946842792048,111
40634927,0.6835038130337675,0.042539831976541924,-0.2989236630354079,0.25049587317104904,107
40847552,0.707667324515875,0.03428898625248841,-0.30498235805634766,0.2358474460425356,111
40881782,0.7680964661285415,0.022016305411723672,-0.36702476035632353,0.1595603935166856,111
40950284,0.6787393004401931,0.03998682308997334,-0.2643187912036401,0.3019465885963979,111
41069516,0.6978294049123711,0.0410938032841242,-0.30340365190268365,0.24109798399543692,111
41310834,0.7450516904058622,0.025869752413773064,-0.27210913060931863,0.30096950073872253,111
41351443,0.7106165861645832,0.03290511511006774,-0.33935759164361845,0.19243019124578598,111
41834818,0.736096119555959,0.028293307000900728,-0.2947195710189328,0.2583676053258712,111
42131703,0.758212856381663,0.021935267184442594,-0.42318670941248715,0.11840132278614271,111
