-44.0,-68.0,22.0,23.674
44.0,-75.0,17.0,18.146
-31.0,-36.0,-15.0,17.597
-8.0,56.0,-5.0,16.559
-50.0,2.0,-29.0,12.64
-8.0,-59.0,25.0,10.565
9.0,53.0,-3.0,7.787
8.0,-39.0,62.0,7.508
9.0,-54.0,60.0,6.115
-19.0,-81.0,42.0,5.962
20.0,-75.0,44.0,4.996
20.0,27.0,50.0,4.059
6.0,-50.0,21.0,9.894
50.0,-62.0,23.0,8.559
-8.0,-57.0,10.0,8.336
-57.0,-11.0,-22.0,7.626
-43.0,-67.0,24.0,7.241
-21.0,25.0,36.0,6.772
54.0,-2.0,-31.0,5.176
9.0,56.0,15.0,5.022
35.0,-20.0,50.0,4.059
50.0,-62.0,23.0,8.559
-43.0,-67.0,24.0,7.241
-56.0,-10.0,-23.0,7.129
-21.0,25.0,36.0,6.635
-5.0,-61.0,22.0,6.467
9.0,-56.0,31.0,4.996
11.0,51.0,-7.0,4.563
-30.0,-26.0,-23.0,4.381
43.0,-19.0,49.0,3.857
24.0,30.0,34.0,3.059
9.0,50.0,15.0,3.009
-50.0,4.0,-15.0,5.555
9.0,-64.0,47.0,4.996
-7.0,-70.0,49.0,4.897
6.0,-50.0,21.0,9.894
50.0,-62.0,23.0,8.559
-8.0,-57.0,10.0,8.336
-57.0,-11.0,-22.0,7.626
-43.0,-67.0,24.0,7.241
-21.0,25.0,36.0,6.772
54.0,-2.0,-31.0,5.176
9.0,56.0,15.0,5.022
35.0,-20.0,50.0,4.059
